[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,7640855.63,12/17/2024,1:01 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC407,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,330,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,309,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 E0,OVEN_HW_VERSION
INFO,OVN325,OVEN_SERIAL_NUMBER
INFO,01.01.10,OVEN_SOFTWARE_VERSION
INFO,383,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Pb,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.93,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,7640906.895,2.2022095,9.68794727325439,-7.60342794893797E-5,1.99753638227995E-7,1,0.999253354069792,40.0298881530762,1.99128731037869,12.3300002887845,-0.000838397378044255,-0.000150749435663694,0.25,-2.49317624573368E-7,-7.56694628404249E-5,-6.14973420699614E-7,2.1992314,2.2051876,9.68794727325439,9.68794727325439,53.3633422649287,19.1926914298638,6.333195,0,0,0,40,4370,2.2052,9.68794727325439,,,,,,,,,,,,,0,,,,1.0269065,,,,,,2.2022095,,,,
,7640907.855,2.2088933,9.68794727325439,-7.64355265227097E-5,1.95333815908901E-7,1,0.999253354069792,40.0298881530762,1.99050015334314,12.3300002887845,-0.000841944045723831,-0.000154665543510208,0.25,-5.38751030692113E-7,-7.60673948261225E-5,-9.04958617119276E-7,2.2051876,2.212599,9.68794727325439,9.68794727325439,53.892504772448,19.2048463512825,6.699764,0,0,0,40,4370,2.21405,9.68794727325439,,,,,,,,,,,,,0,,,,1.0320615,,,,,,2.2088933,,,,
,7640908.805,2.21744295,9.68794727325439,-7.62768880491081E-5,2.43388200848525E-7,1,0.999253354069792,40.0298881530762,1.99033152512565,12.3300002887845,-0.00084019908191345,-0.000153934188790499,0.25,-5.01550969454469E-7,-7.59096948106606E-5,-8.67171064415422E-7,2.212599,2.2222869,9.68794727325439,9.68794727325439,52.8951467819094,19.2070387562441,6.333195,0,0,0,40,4370,2.2227,9.68794727325439,,,,,,,,,,,,,0,,,,1.0372165,,,,,,2.21744295,,,,
,7640910.73,2.2307611,9.68794727325439,-7.62707629892792E-5,1.84285145892859E-7,1,0.999253354069792,40.0298881530762,1.9925083606721,12.3300002887845,-0.000841131362019196,-0.000153372111266312,0.25,-4.37201456073587E-7,-7.59039100255079E-5,-8.03099738386486E-7,2.2307611,2.2307611,9.68794727325439,9.68794727325439,52.985034061621,19.1844166300145,6.333195,0,0,0,40,4370,2.2352,9.68794727325439,,,,,,,,,,,,,0,,,,1.04242335,,,,,,2.2307611,,,,
,7640911.355,2.23437955,9.68794727325439,-7.61823979602014E-5,1.99990232410087E-7,1,0.999253354069792,40.0298881530762,1.99130736799309,12.3300002887845,-0.000839599658384584,-0.000153533025974658,0.25,-4.75350230529105E-7,-7.58157836564016E-5,-8.40639737384621E-7,2.2307611,2.237998,9.68794727325439,9.68794727325439,53.2711100996595,19.1934311945432,6.333195,0,0,0,40,4370,2.23945,9.68794727325439,,,,,,,,,,,,,0,,,,1.0476302,,,,,,2.23437955,,,,
,7640912.4,2.24365735,9.68794727325439,-7.63123793890404E-5,2.44238351296677E-7,1,0.999253354069792,40.0298881530762,1.99187271414553,12.3300002887845,-0.000841115921911206,-0.000154649930825711,0.25,-5.49864566759047E-7,-7.59447843243751E-5,-9.15424864880139E-7,2.237998,2.2493167,9.68794727325439,9.68794727325439,53.3320771241595,19.1853758867328,6.333195,0,0,0,40,4370,2.24925,9.68794727325439,,,,,,,,,,,,,0,,,,1.05288925,,,,,,2.24365735,,,,
,7640913.545,2.2539414,9.68794727325439,-7.61149235303787E-5,1.85440625543426E-7,1,0.999253354069792,40.0298881530762,1.99169868527839,12.3300002887845,-0.000840021862200598,-0.000147706905343073,0.25,4.3309505489684E-8,-7.57511350602068E-5,-3.24134799775035E-7,2.2493167,2.2585661,9.68794727325439,9.68794727325439,52.8771693259671,19.192086996457,6.333195,0,0,0,40,4370,2.2611,9.68794727325439,,,,,,,,,,,,,0,,,,1.05288925,,,,,,2.2539414,,,,
,7640914.75,2.26295635,9.68794727325439,-7.61995965780756E-5,2.53866253016399E-7,1,0.999253354069792,40.0298881530762,1.99197523843948,12.3300002887845,-0.00083949782563984,-0.000156787760036999,0.25,-7.62779518810603E-7,-7.58315143265252E-5,-1.12677747157957E-6,2.2585661,2.2673466,9.68794727325439,9.68794727325439,52.6739459109671,19.1908974812285,6.699764,0,0,0,40,4370,2.269,9.68794727325439,,,,,,,,,,,,,0,,,,1.05288925,,,,,,2.26295635,,,,
,7640915.775,2.27177275,9.68794727325439,-7.61588110607641E-5,2.0805498827905E-7,1,0.999253354069792,40.0298881530762,1.9922372640465,12.3199997469783,-0.000839948816073908,-0.000152215617792298,0.25,-3.53977078947093E-7,-7.5792896562203E-5,-7.19733230656254E-7,2.2673466,2.2761989,9.68794727325439,9.68794727325439,52.7997881025633,19.1873289938435,6.333195,0,0,0,40,4370,2.2763,9.68794727325439,,,,,,,,,,,,,0,,,,1.05288925,,,,,,2.27177275,,,,
,7640916.705,2.2796953,9.68794727325439,-7.6050643870099E-5,1.76442837636002E-7,1,0.999253354069792,40.0298881530762,1.99275885565115,12.3300002887845,-0.000838424584653901,-0.000155099489182562,0.25,-6.30828693167848E-7,-7.56839111967949E-5,-9.94739006959263E-7,2.2761989,2.2831917,9.68794727325439,9.68794727325439,53.3453648089864,19.1684477804256,6.333195,0,0,0,40,4370,2.284,9.68794727325439,,,,,,,,,,,,,0,,,,1.05288925,,,,,,2.2796953,,,,
